ID;Fabrica;Activo;Tecnología;Pais
149;Galicia;1;Almacén de Producto Terminado;España
424;Gonvauto Asturias;1;Puente Grúa;España
464;Gonvauto Asturias;1;Carpinteria;España
152;Baja California;1;Almacén de Producto Terminado;EEUU
153;Çepas;1;Almacén de Producto Terminado;Turquía
154;Colombia;1;Almacén de Producto Terminado;Colombia
155;Thüringen;1;Almacén de Producto Terminado;Alemania
156;Polska;1;Almacén de Producto Terminado;Polonia
157;Senica;1;Almacén de Producto Terminado;Eslovaquia
158;Kaluga;1;Almacén de Producto Terminado;Russia
159;Czech;1;Almacén de Producto Terminado;Rep.Checa
503;Gonvauto Asturias;1;Almacen de recambios;España
161;Puebla;1;Almacén de Producto Terminado;México
162;South Carolina;1;Almacén de Producto Terminado;EEUU
163;Argentina;1;Almacén de Producto Terminado;Argentina
164;Paraná;1;Almacén de Producto Terminado;Argentina
165;Campinas;1;Almacén de Producto Terminado;Brasil
166;Dongguan;1;Almacén de Producto Terminado;China
542;Gonvauto Asturias;1;Almacen productos quimicos;España
168;Changshu;1;Almacén de Producto Terminado;China
169;Shenyang;1;Almacén de Producto Terminado;China
170;Chongqing;1;Almacén de Producto Terminado;China
171;Loudi;1;Almacén de Producto Terminado;China
172;GCF;1;Almacén de Producto Terminado;Rep.Checa
173;Bridge Street;1;Almacén de Producto Terminado;UK
174;Newton Aycliffe;1;Almacén de Producto Terminado;UK
175;Popes Lane;1;Almacén de Producto Terminado;UK
176;Darlaston;1;Almacén de Producto Terminado;UK
177;Cannock;1;Almacén de Producto Terminado;Holanda
178;Barcelona;1;Almacén producto semielaborado o en producción;España
179;Burgos;1;Almacén producto semielaborado o en producción;España
180;Tarragona;1;Almacén producto semielaborado o en producción;España
181;Valencia;1;Almacén producto semielaborado o en producción;España
182;Portugal;1;Almacén producto semielaborado o en producción;Portugal
183;Union Street;1;Almacén producto semielaborado o en producción;UK
575;Gonvauto Asturias;1;Residuos productos quimicos;España
608;Gonvauto Asturias;1;Carretilla;España
641;Gonvauto Asturias;1;Coil to Coil;España
187;Navarra;1;Almacén producto semielaborado o en producción;España
188;Galicia;1;Almacén producto semielaborado o en producción;España
147;Gonvauto Barcelona;1;Almacén de Producto Terminado;España
186;Gonvauto Barcelona;1;Almacén producto semielaborado o en producción;España
191;Baja California;1;Almacén producto semielaborado o en producción;EEUU
192;Çepas;1;Almacén producto semielaborado o en producción;Turquía
193;Colombia;1;Almacén producto semielaborado o en producción;Colombia
194;Thüringen;1;Almacén producto semielaborado o en producción;Alemania
195;Polska;1;Almacén producto semielaborado o en producción;Polonia
196;Senica;1;Almacén producto semielaborado o en producción;Eslovaquia
197;Kaluga;1;Almacén producto semielaborado o en producción;Russia
198;Czech;1;Almacén producto semielaborado o en producción;Rep.Checa
225;Gonvauto Barcelona;1;Área de embalado;España
200;Puebla;1;Almacén producto semielaborado o en producción;México
201;South Carolina;1;Almacén producto semielaborado o en producción;EEUU
202;Argentina;1;Almacén producto semielaborado o en producción;Argentina
