ID;Planta;Año;Mes;Empleados Propios;Empleados Ajenos;Empleados ETTS;Empleados Subcontrata;Horas Presencia Efectiva Propios;Horas Presencia Efectiva Subcontratados;Horas Presencia Efectiva ETTs;Horas Formacion Seguridad Propios;Horas Formacion Seguridad ETTs;Horas Formacion General Propios;Empleados Propios - indefinido;Empleados Propios - duración determinada
4187;Barcelona;2020;JUN;139;29;5;24;1.617.200.000.000.000.000;474.750.000.000.000.000;90.400.000.000.000.000;4.300.000.000.000.000;0.00000000000000;54.300.000.000.000.000;129;6
4573;GCF;2020;NOV;176;0;0;0;2.588.100.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;6.050.000.000.000.000;183;0
4574;Asturias;2020;NOV;24;26;26;0;381.010.000.000.000.000;0.00000000000000;414.400.000.000.000.000;2.100.000.000.000.000;100.000.000.000.000;18.950.000.000.000.000;24;0
4575;Solar Steel;2020;NOV;48;1;1;0;708.000.000.000.000.000;0.00000000000000;16.000.000.000.000.000;0.00000000000000;0.00000000000000;17.950.000.000.000.000;39;9
4576;Solar Construction;2020;NOV;0;0;0;0;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0;0
4577;Road Engineering;2020;NOV;14;2;2;0;224.000.000.000.000.000;0.00000000000000;32.000.000.000.000.000;0.00000000000000;0.00000000000000;7.600.000.000.000.000;13;1
4578;Laser Valencia;2020;NOV;23;0;0;0;392.050.000.000.000.000;0.00000000000000;1.600.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;23;0
4579;São Leopoldo;2020;NOV;2;0;0;0;35.200.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;700.000.000.000.000;2;0
4580;Changshu;2020;NOV;131;72;72;0;2.828.500.000.000.000.000;0.00000000000000;1.279.050.000.000.000.000;0.00000000000000;0.00000000000000;250.000.000.000.000;0;131
4581;Shenyang;2020;NOV;121;30;30;0;2.620.750.000.000.000.000;0.00000000000000;536.900.000.000.000.000;0.00000000000000;0.00000000000000;2.950.000.000.000.000;0;116
4582;Chongqing;2020;NOV;46;6;6;0;1.087.750.000.000.000.000;0.00000000000000;120.300.000.000.000.000;9.200.000.000.000.000;0.00000000000000;10.100.000.000.000.000;0;46
4583;Loudi;2020;NOV;59;25;25;0;1.391.400.000.000.000.000;0.00000000000000;341.350.000.000.000.000;20.000.000.000.000.000;0.00000000000000;25.200.000.000.000.000;0;59
4584;Nitra;2020;NOV;23;11;1;9;328.900.000.000.000.000;141.200.000.000.000.000;25.850.000.000.000.000;3.400.000.000.000.000;0.00000000000000;5.200.000.000.000.000;8;14
4585;Laser Zaragoza;2020;NOV;13;16;16;0;217.820.000.000.000.000;0.00000000000000;268.240.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;13;0
4586;GMH Belgium;2020;NOV;7;0;0;0;55.860.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;7;0
4587;GMH Stålteknik;2020;NOV;35;0;0;0;558.153.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;34;0
4588;GMH CSS;2020;NOV;36;0;0;0;196.450.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;200.000.000.000.000;13;0
4589;GMH Czech;2020;NOV;2;0;0;0;32.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;2;0
4590;GMH Denmark;2020;NOV;18;0;0;0;300.850.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;20;0
4591;GMH Finland;2020;NOV;39;0;0;0;609.200.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;38;0
4592;GMH Germany;2020;NOV;198;1;1;0;2.998.939.000.000.000.000;0.00000000000000;16.133.000.000.000.000;0.00000000000000;0.00000000000000;10.600.000.000.000.000;186;6
4593;GMH HQ;2020;NOV;9;0;0;0;33.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;2;0
4594;GMH Hungary;2020;NOV;9;0;0;0;144.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;9;0
4595;GMH Netherlands;2020;NOV;26;0;0;0;422.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;8.000.000.000.000.000;27;1
4596;GMH Norway;2020;NOV;18;0;0;0;220.800.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;18;0
4597;GMH Poland;2020;NOV;11;0;0;0;164.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0;0
4598;GMH Romania;2020;NOV;366;0;0;0;5.499.500.000.000.000.000;0.00000000000000;0.00000000000000;59.000.000.000.000.000;0.00000000000000;59.000.000.000.000.000;314;65
4599;GMH Russia;2020;NOV;93;0;0;0;1.252.700.000.000.000.000;0.00000000000000;0.00000000000000;600.000.000.000.000;0.00000000000000;5.100.000.000.000.000;93;0
4600;GMH Slovakia;2020;NOV;4;0;0;0;52.720.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;4;0
4601;GMH Sweden;2020;NOV;52;0;0;0;944.554.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;3.200.000.000.000.000;58;0
4602;GMH UK;2020;NOV;32;1;1;0;597.300.000.000.000.000;0.00000000000000;14.700.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;40;0
4603;Suports España;2020;NOV;9;0;0;0;112.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;6;3
4604;Kredit;2020;NOV;191;21;21;0;2.981.900.000.000.000.000;0.00000000000000;728.700.000.000.000.000;100.000.000.000.000;0.00000000000000;1.100.000.000.000.000;158;32
4605;Lampe;2020;NOV;6;0;0;0;102.375.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;6;0
4606;CSI;2020;NOV;25;0;0;0;450.860.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;25;0
4607;Sogeisa;2020;NOV;43;0;0;0;528.550.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;43;0
4608;Kaufmann;2020;NOV;15;0;0;0;228.310.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;14;1
4609;Addimen;2020;NOV;3;0;0;0;48.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;3;0
4610;Flinsa;2020;NOV;130;20;20;0;2.091.460.000.000.000.000;0.00000000000000;335.150.000.000.000.000;16.600.000.000.000.000;0.00000000000000;17.500.000.000.000.000;119;11
4611;Barcelona;2020;DIC;197;43;26;17;1.711.900.000.000.000.000;142.400.000.000.000.000;254.000.000.000.000.000;33.600.000.000.000.000;0.00000000000000;45.000.000.000.000.000;189;6
4612;Burgos;2020;DIC;247;18;18;0;2.403.486.000.000.000.000;0.00000000000000;208.600.000.000.000.000;29.130.000.000.000.000;280.000.000.000.000;58.310.000.000.000.000;191;47
4613;Tarragona;2020;DIC;49;11;2;9;355.830.000.000.000.000;150.250.000.000.000.000;38.950.000.000.000.000;4.200.000.000.000.000;0.00000000000000;23.300.000.000.000.000;47;2
4614;Valencia;2020;DIC;153;32;29;3;1.554.380.000.000.000.000;51.030.000.000.000.000;472.510.000.000.000.000;0.00000000000000;0.50000000000000;3.850.000.000.000.000;140;0
4615;Portugal;2020;DIC;99;3;1;2;1.095.140.000.000.000.000;22.400.000.000.000.000;9.000.000.000.000.000;0.00000000000000;0.00000000000000;3.150.000.000.000.000;76;24
4616;Laser Barcelona;2020;DIC;26;12;11;1;288.150.000.000.000.000;10.900.000.000.000.000;132.400.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;26;0
4617;Madrid;2020;DIC;25;0;0;0;325.700.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;1.000.000.000.000.000;25;0
4618;Vizcaya;2020;DIC;6;0;0;0;72.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;6;0
4259;Barcelona;2020;JUL;137;39;7;32;1.886.350.000.000.000.000;652.260.000.000.000.000;164.340.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;127;6
4620;Navarra;2020;DIC;53;10;2;8;522.760.000.000.000.000;128.400.000.000.000.000;25.580.000.000.000.000;0.00000000000000;0.00000000000000;4.100.000.000.000.000;54;0
4621;Galicia;2020;DIC;66;12;0;12;787.720.000.000.000.000;154.000.000.000.000.000;0.00000000000000;17.400.000.000.000.000;0.00000000000000;57.700.000.000.000.000;59;7
4622;Asturias;2020;DIC;260;102;102;0;2.219.390.000.000.000.000;0.00000000000000;1.469.400.000.000.000.000;300.000.000.000.000;1.700.000.000.000.000;100.800.000.000.000.000;224;17
